3.9MB |#| F4RAN-173-245-58-3 |#| 173.245.58.3:443 |#| 1009.3KB |#| 998.4KB--- 4
3.2MB |#| F4RAN-188-114-96-192 |#| 188.114.96.192:443 |#| 1.6MB |#| 1.5MB--- 3
2.3MB |#| F4RAN-190-93-247-253 |#| 190.93.247.253:443 |#| 2.3MB |#| 2.3MB--- 12
2.3MB |#| F4RAN-188-114-99-253 |#| 188.114.99.253:443 |#| 945.7KB |#| 942.9KB--- 15
2.2MB |#| F4RAN-173-245-58-1 |#| 173.245.58.1:443 |#| 1.9MB |#| 1.9MB--- 7
1.7MB |#| F4RAN-190-93-244-56 |#| 190.93.244.56:443 |#| 1.0MB |#| 1.0MB--- 13
1.6MB |#| F4RAN-188-114-97-12 |#| 188.114.97.12:443 |#| 858.3KB |#| 858.3KB--- 461
1.6MB |#| F4RAN-188-114-98-104 |#| 188.114.98.104:443 |#| 842.3KB |#| 831.5KB--- 466
1.6MB |#| F4RAN-173-245-58-14 |#| 173.245.58.14:443 |#| 460.6KB |#| 437.4KB--- 474
1.5MB |#| F4RAN-173-245-59-26 |#| 173.245.59.26:443 |#| 1.1MB |#| 1.1MB--- 69
1.5MB |#| F4RAN-190-93-247-218 |#| 190.93.247.218:443 |#| 858.3KB |#| 755.6KB--- 457
1.4MB |#| F4RAN-103-21-244-120 |#| 103.21.244.120:443 |#| 1.1MB |#| 1.1MB--- 133
1.4MB |#| F4RAN-190-93-246-13 |#| 190.93.246.13:443 |#| 1.1MB |#| 1.0MB--- 143
1.4MB |#| F4RAN-173-245-49-138 |#| 173.245.49.138:443 |#| 985.6KB |#| 928.9KB--- 355
1.4MB |#| F4RAN-188-114-96-234 |#| 188.114.96.234:443 |#| 945.7KB |#| 940.1KB--- 374
1.4MB |#| F4RAN-103-21-244-212 |#| 103.21.244.212:443 |#| 922.0KB |#| 917.4KB--- 379
1.4MB |#| F4RAN-173-245-59-100 |#| 173.245.59.100:443 |#| 1.2MB |#| 1.2MB--- 386
1.4MB |#| F4RAN-173-245-49-137 |#| 173.245.49.137:443 |#| 1.1MB |#| 1.1MB--- 390
1.4MB |#| F4RAN-188-114-98-255 |#| 188.114.98.255:443 |#| 969.6KB |#| 959.0KB--- 402
1.4MB |#| F4RAN-188-114-99-61 |#| 188.114.99.61:443 |#| 778.7KB |#| 762.7KB--- 469
1.3MB |#| F4RAN-173-245-58-2 |#| 173.245.58.2:443 |#| 1.1MB |#| 1.1MB--- 6
