5.1MB |#| F4RAN-173-245-58-1 |#| 173.245.58.1:443 |#| 2.6MB |#| 2.6MB--- 7
6.9MB |#| F4RAN-190-93-247-254 |#| 190.93.247.254:443 |#| 2.1MB |#| 2.1MB--- 2
6.7MB |#| F4RAN-173-245-59-131 |#| 173.245.59.131:443 |#| 1.9MB |#| 1.9MB--- 9
5.6MB |#| F4RAN-173-245-59-254 |#| 173.245.59.254:443 |#| 2.2MB |#| 2.2MB--- 8
4.2MB |#| F4RAN-173-245-58-0 |#| 173.245.58.0:443 |#| 1.5MB |#| 1.5MB--- 5
3.6MB |#| F4RAN-190-93-247-251 |#| 190.93.247.251:443 |#| 1.5MB |#| 1.5MB--- 10
5.0MB |#| F4RAN-173-245-58-2 |#| 173.245.58.2:443 |#| 1.7MB |#| 1.7MB--- 6
2.8MB |#| F4RAN-103-21-244-254 |#| 103.21.244.254:443 |#| 102.6KB |#| 101.3KB--- 21
4.5MB |#| F4RAN-103-21-244-249 |#| 103.21.244.249:443 |#| 309.5KB |#| 308.9KB--- 18
3.7MB |#| F4RAN-173-245-49-242 |#| 173.245.49.242:443 |#| 309.5KB |#| 307.9KB--- 17
3.4MB |#| F4RAN-190-93-245-213 |#| 190.93.245.213:443 |#| 253.7KB |#| 250.2KB--- 25
3.5MB |#| F4RAN-190-93-245-80 |#| 190.93.245.80:443 |#| 993.4KB |#| 990.4KB--- 20
2.1MB |#| F4RAN-190-93-245-219 |#| 190.93.245.219:443 |#| 1.1MB |#| 1.1MB--- 23
3.5MB |#| F4RAN-190-93-245-157 |#| 190.93.245.157:443 |#| 1.4MB |#| 1.4MB--- 22
851.0KB |#| F4RAN-173-245-49-251 |#| 173.245.49.251:443 |#| 253.7KB |#| 252.5KB--- 27
966.4KB |#| F4RAN-190-93-246-51 |#| 190.93.246.51:443 |#| 269.7KB |#| 268.6KB--- 31
4.1MB |#| F4RAN-173-245-49-215 |#| 173.245.49.215:443 |#| 373.1KB |#| 366.9KB--- 28
679.9KB |#| F4RAN-103-21-244-252 |#| 103.21.244.252:443 |#| 333.3KB |#| 333.0KB--- 26
580.5KB |#| F4RAN-103-21-244-140 |#| 103.21.244.140:443 |#| 245.9KB |#| 243.2KB--- 29
1.1MB |#| F4RAN-190-93-246-176 |#| 190.93.246.176:443 |#| 651.5KB |#| 645.7KB--- 30
6.3MB |#| F4RAN-190-93-247-247 |#| 190.93.247.247:443 |#| 564.0KB |#| 557.3KB--- 33
3.0MB |#| F4RAN-190-93-247-252 |#| 190.93.247.252:443 |#| 206.1KB |#| 184.7KB--- 34
5.4MB |#| F4RAN-103-21-244-250 |#| 103.21.244.250:443 |#| 548.0KB |#| 547.4KB--- 38
6.9MB |#| F4RAN-190-93-245-37 |#| 190.93.245.37:443 |#| 1.2MB |#| 1.2MB--- 40
7.2MB |#| F4RAN-173-245-49-12 |#| 173.245.49.12:443 |#| 1.2MB |#| 1.2MB--- 41
5.5MB |#| F4RAN-190-93-246-0 |#| 190.93.246.0:443 |#| 1.4MB |#| 1.4MB--- 35
6.6MB |#| F4RAN-188-114-99-254 |#| 188.114.99.254:443 |#| 1.7MB |#| 1.7MB--- 36
1.5MB |#| F4RAN-173-245-59-95 |#| 173.245.59.95:443 |#| 651.5KB |#| 479.0KB--- 42
787.3KB |#| F4RAN-173-245-59-65 |#| 173.245.59.65:443 |#| 373.1KB |#| 365.1KB--- 49
863.0KB |#| F4RAN-103-21-244-253 |#| 103.21.244.253:443 |#| 349.3KB |#| 326.8KB--- 45
9.7MB |#| F4RAN-190-93-247-250 |#| 190.93.247.250:443 |#| 373.1KB |#| 361.5KB--- 43
803.4KB |#| F4RAN-188-114-99-196 |#| 188.114.99.196:443 |#| 349.3KB |#| 256.9KB--- 44
4.4MB |#| F4RAN-190-93-246-55 |#| 190.93.246.55:443 |#| 245.9KB |#| 164.7KB--- 48
3.0MB |#| F4RAN-188-114-96-251 |#| 188.114.96.251:443 |#| 253.7KB |#| 227.5KB--- 52
835.0KB |#| F4RAN-190-93-247-88 |#| 190.93.247.88:443 |#| 245.9KB |#| 221.5KB--- 51
